instruction,response,output,prompt,history,summary,type,his_len,i_tone,o_tone,r_tone
Phone number : ##########,Welcome to the 911 dispatch center.,SafeRide Outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Phone number : ##########
Dispatcher:",[],,SafeRide&SafeWalk,3,,99.0,99.0
[ACRONYM]: #########,[ACRONYM]: #########,[ACRONYM]. I will let you know when they arrive,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM]: #########
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,
Ok,You can't do anything until he gets there,Leaving Monty,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: You know how long before the safe ride comes?
Dispatcher: He's on the way 
 User: Ok
Dispatcher:","[['You know how long before the safe ride comes?', ""He's on the way""]]",,SafeRide&SafeWalk,10,,99.0,
Thx a lot,What is the nature of your concern?,Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: #########...
Dispatcher: Thank you for contacting [ORG]. Please provide your [ACRONYM] Id # 
 User: #########, ##########
Dispatcher: May I please have your student [ACRONYM] number and a telephone number where we can contact you, if necessary? 
 User: Thx a lot
Dispatcher:","[['#########...', 'Thank you for contacting [ORG]. Please provide your [ACRONYM] Id #'], ['######### , ##########', 'May I please have your student [ACRONYM] number and a telephone number where we can contact you, if necessary?']]",,SafeRide&SafeWalk,7,99.0,,
Cause the library is about to close,"Hi, this is the dispatcher. How can I help you?",I can send you an uber,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Cause the library is about to close
Dispatcher:",[],,SafeRide&SafeWalk,9,,99.0,
"Okay, Thanks.","Okay, what is the nature of your call?",We can only give escorts to locations on campus.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Okay, Thanks.
Dispatcher:",[],,SafeRide&SafeWalk,1,99.0,99.0,
My id number is #########,"Hello, this is the police department. How can I help you?","May I please have your student [ACRONYM] number and a telephone number where we can contact you, if necessary?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: My id number is #########
Dispatcher:",[],,SafeRide&SafeWalk,2,,99.0,99.0
I'm coming,May I have your student [ACRONYM] number?,Safe Ride Outside,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Phone: ###-###-####
Dispatcher: May I please have your student [ACRONYM] number and a telephone number where we can contact you, if necessary? 
 User: I'm coming
Dispatcher:","[['Phone: ###-###-####', 'May I please have your student [ACRONYM] number and a telephone number where we can contact you, if necessary?']]",,SafeRide&SafeWalk,4,,99.0,
####### n phone number ##########,"Hello, this is the ########## Police Department. How can I help you?","May I please have your student [ACRONYM] number and a telephone number where we can contact you, if necessary?","A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: ####### n phone number ##########
Dispatcher:",[],,SafeRide&SafeWalk,2,,99.0,
I'm on the first level by the elevators.,Can you tell me what the problem is?,Where in the deck are you? Are you in a vehicle? If so what kind and color of vehicle?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: I'm on the first level by the elevators.
Dispatcher:",[],,SafeRide&SafeWalk,1,,99.0,99.0
Yes that is fine,Please wait outside for your safe ride.,Would you like an uber?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: Thank u
Dispatcher: Thank you. Your safe ride will be there shortly. 
 User: Yes that is fine
Dispatcher:","[['Thank u', 'Thank you. Your safe ride will be there shortly.']]",,SafeRide&SafeWalk,4,99.0,99.0,99.0
[PERSON]. It's already on.,"[PERSON], I'm here.",what vehicle are you in? could you please turn on the lights for the escort?,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [PERSON]. It's already on.
Dispatcher:",[],,SafeRide&SafeWalk,2,,99.0,
Thank you,Please provide your [ACRONYM] Id #,Thank you. Your [PERSON] will be there shortly.,"A chat between an individual reporting a safety concern to the local police department and a dispatcher from the police department. The dispatcher gives helpful and detailed guidance and instructions on how to proceed. The dispatcher is also supposed to give necessary emotional support to the citizen.
 
 User: [ACRONYM] [ACRONYM] #########
Dispatcher: Thank you for contacting [ORG]. Please provide your [ACRONYM] Id # 
 User: ### ###-####
Dispatcher: May I please have a telephone number in case we need to contact you? 
 User: Thank you
Dispatcher:","[['[ACRONYM] [ACRONYM] #########', 'Thank you for contacting [ORG]. Please provide your [ACRONYM] Id #'], ['### ###-####', 'May I please have a telephone number in case we need to contact you?']]",,SafeRide&SafeWalk,5,99.0,,99.0
